"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1143175","0","GRACE DEBT ADVICE","Grace Advocacy, PO Box 238, Eastbourne","BN24 9HN","Bexhill and Battle","02071834456","advice@graceadvocacy.org","www.graceadvocacy.org","31/12/2023","146054","150951","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty","Elderly/old People, People With Disabilities, The General Public/mankind","Grace Advocacy is a UK charity that offers a free advocacy service for people who are struggling with multiple complex problems. We work with our clients to stabilise their affairs and can help in the areas of:
benefits;
disability;
housing;
NHS;
adult social care; and
debt.","THE CHARITY'S OBJECTS ('THE OBJECTS') ARE FOR THE PUBLIC BENEFIT AND ARE CARRIED OUT 
WITHOUT DISTINCTION OF RACE, SEX, POLITICAL, RELIGIOUS OR OTHER OPINION AS THE TRUSTEES MAY FROM TIME THINK FIT, AND ARE RESTRICTED TO THE FOLLOWING: 
TO RELIEVE PERSONS WHO ARE IN CONDITIONS OF NEED, POVERTY OR HARDSHIP AND WHO MAY BE AGED OR SICK AND TO RELIEVE THE DISTRESS CAUSED THEREBY INCLUDING BUT NOT BY WAY OF LIMITATION THROUGH THE PROVISION OF DEBT COUNSELLING, BENEFITS ADVICE, BUDGETING, EDUCATION AND OTHER RELEVANT SUPPORT IN SUCH PARTS OF THE UNITED KINGDOM AND THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT."
"1143381","0","SALAMANDER TRUST","167-169 Great Portland street, 5th Floor, London","W1W 5PF","Cities of London and Westminster","02077130444","alice@salamandertrust.net","www.salamandertrust.net","31/03/2024","24645","30583","Registered","Charitable company","Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, The Advancement Of Health Or Saving Of Lives, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Other Defined Groups, The General Public/mankind","Salamander aims to protect, promote and enhance the health and rights of people particularly, but not exclusively, marginalised by societies worldwide as a result of their gender, HIV status or sexual and reproductive health. We conduct: global advocacy work; related research; and we coordinate the global Community of Practice of users of the Stepping Stones training programme on gender and HIV.","1. THE PROMOTION AND PROTECTION OF GOOD HEALTH IN PARTICULAR BUT NOT EXCLUSIVELY AMONGST THOSE MARGINALIZED BY SOCIETIES WORLDWIDE AS A RESULT OF THEIR GENDER, HIV STATUS OR SEXUAL OR REPRODUCTIVE HEALTH BY:(A) CONDUCTING RESEARCH AND DISSEMINATING THE USEFUL RESULTS OF THAT RESEARCH
(B) INCREASING AWARENESS AND UNDERSTANDING AMONGST HEALTH PROFESSIONALS, SERVICE PROVIDERS AND THE PUBLIC OF:
(I) THE IMPACT OF HIV ON THE GENERAL HEALTH OF WOMEN AND CHILDREN 
(II) THE HIV PREVENTION, TREATMENT, CARE AND SUPPORT CONTINUUM 
(III) THE ADVANTAGES OF MULTI-SECTORAL AND PARTICIPATORY APPROACHES TO HIV, SEXUAL HEALTH AND DEVELOPMENT 
(C) PROVIDING TRAINING AND DEVELOPING TRAINING TOOLS TO STRENGTHEN SERVICES AND SUPPORT TO WOMEN LIVING WITH HIV.
2. THE PROMOTION OF HUMAN RIGHTS (AS SET OUT IN THE UNIVERSAL DECLARATION OF HUMAN RIGHTS AND SUBSEQUENT UNITED NATIONS CONVENTIONS AND DECLARATIONS) THROUGHOUT THE WORLD BY: 
(A) CONDUCTING RESEARCH INTO HUMAN RIGHTS ISSUES AND DISSEMINATING THE USEFUL RESULTS OF THAT RESEARCH; 
(B) RAISING AWARENESS OF HUMAN RIGHTS ISSUES, IN PARTICULAR WHERE THEY ARISE FROM HIV AND AIDS POLICIES; 
(C) PROMOTING PUBLIC SUPPORT FOR HUMAN RIGHTS."
"1144052","0","BRIGHTON-LUSAKA HEALTH LINK","Department of Anaesthetics, Royal Sussex County Hospital, Eastern Road, Brighton","BN2 5BE","Brighton Kemptown and Peacehaven","01273696955","","www.brighton-lusaka-healthlink.org","30/04/2024","1901","216","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, Overseas Aid/famine Relief","The General Public/mankind","Provides educational and clinical support for Health care Workers at University Teaching Hospital Lusaka and the Medical and Nursing Schools.Arranges short-term visits to deliver  courses or clinical services.Host visits for health care workers from UTH to the Brighton Hospitals and Universities for a defined period to enable them to develop their professional training.","THE OBJECTS OF THE CHARITY ARE THE RELIEF OF SICKNESS AND THE PRESERVATION OF HEALTH AMONG THE PEOPLE OF ZAMBIA."
"1144438","0","CHABAD LUBAVITCH SOUTH EAST COUNTIES LTD","Chabad House, 14 Richmond Terrace, BRIGHTON","BN2 9SA","Brighton Pavilion","01273693151","info@chabadsussex.org","www.chabadsussex.org","31/05/2024","99633","87850","Registered","Charitable company","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Religious Activities, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","To advance Orthodox Judaism as expounded by the teachings of Chabad Lubavitch and to advance the understanding of Judaism amongst Jews and people of other faiths, primarily amongst students in the South East Counties and on the South Coast of England.","A. TO ADVANCE ORTHODOX JUDAISM AS EXPOUNDED BY THE TEACHING OF CHABAD-LUBAVITCH
B. TO ADVANCE THE UNDERSTANDING OF JUDAISM AMONGST PEOPLE OF OTHER FAITHS, PRIMARILY AMONGST STUDENTS IN THE SOUTH EAST COUNTIES AND ON THE SOUTH COAST OF ENGLAND"
"1144560","0","ELM GROVE PTA","Elm Grove Cp School, Elm Grove, Brighton","BN2 3ES","Brighton Pavilion","07709336200","chair@elmgrovepta.com","https://www.elmgrove.brighton-hove.sch.uk/pta/","31/03/2024","58402","48025","Registered","Other","Provides Other Finance, Provides Human Resources, Provides Services","Education/training","Children/young People","Develop effective relationships between parents/carers, staff and others associated with the school.  Raise funds to enrich the resources of the school.  Promote links between the school and local community. Organise social, educational and fund-raising events and apply for grants from independent bodies.","TO ADVANCE THE EDUCATION OF PUPILS IN THE SCHOOL IN PARTICULAR BY:
DEVELOPING EFFECTIVE RELATIONSHIPS BETWEEN THE STAFF PARENTS AND OTHERS ASSOCIATED WITH THE SCHOOL;
ENGAGING IN ACTIVITIES OR PROVIDING FACILITIES OR EQUIPMENT WHICH SUPPORT THE SCHOOL AND ADVANCE THE EDUCATION OF THE PUPILS."
"1144878","0","THE SURVIVORS' NETWORK LIMITED","Survivors Network, 6A Pavilion Buildings, BRIGHTON","BN1 1EE","Brighton Pavilion","01273203380","admin@survivorsnetwork.org.uk","www.survivorsnetwork.org.uk","31/03/2024","1771142","1835113","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Disability, Other Charitable Purposes","Children/young People, People With Disabilities, Other Defined Groups, The General Public/mankind","Services and support for people who have experienced any form of sexual abuse or sexual violence including a telephone/e-mail helpline, Counselling, advocacy/practical support, drop in service, therapeutic group work. We also provide training for professionals and campaign to end the future abuse of women and children and lessen the taboo around sexual abuse.","TO RELIEVE THE DISTRESS OF SURVIVORS OF ALL FORMS OF SEXUAL VIOLENCE BY PROVIDING COUNSELLING, ADVICE AND SUPPORT TO SUCH SURVIVORS, THEIR PARTNERS AND THEIR FAMILIES AND BY RAISING AWARENESS OF SEXUAL VIOLENCE."
"1144982","0","THE COMMONWEALTH HIV AND AIDS ACTION GROUP (CHAAG)","Bagers Croft Hangerwood, Shermanbury","RH13 8HJ","Horsham","01403783708","jumpei@equalinternational.org","www.chaag.org.uk","30/06/2024","0","0","Registered","Other","Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","The Advancement Of Health Or Saving Of Lives, Human Rights/religious Or Racial Harmony/equality Or Diversity","Other Defined Groups","CHAAG remains focused on supporting an effective response to HIV in Commonwealth countries, particularly through supporting civil society members to influence Commonwealth leaders and institutions to prioritize addressing structural drivers that undermine such a response.","(A) TO RELIEVE SICKNESS BY UNDERTAKING CHARITABLE ACTIVITIES AIMED AT COMBATING THE SPREAD OF HIV AND AIDS IN COMMONWEALTH COUNTRIES AND TO ADVANCE THE GOOD HEALTH OF PEOPLE WITH HIV AND AIDS BY WORKING TO IMPROVE ACCESS TO TREATMENT AND CARE FOR PEOPLE WITH HIV AND AIDS.
(B TO ADVANCE PUBLIC EDUCATION AND UNDERTAKE RESEARCH (PROMOTING THE USEFUL RESULTS) FOR THE PUBLIC BENEFIT IN PARTICULAR BY PROMOTING AND UNDERTAKING A MULTI-SECTORAL AND MULTI-DISCIPLINARY APPROACH TO COMBATING HIV AND AIDS IN COMMONWEALTH COUNTRIES.
(C) TO PROMOTE HUMAN RIGHTS (AS SET OUT IN THE UNIVERSAL DECLARATION OF HUMAN RIGHTS AND SUBSEQUENT UNITED NATIONS CONVENTIONS AND DECLARATIONS) FOR THE PUBLIC BENEFIT BY ADVOCATING THE ADOPTION OF, AND COMPLIANCE WITH, INTERNATIONAL AND REGIONAL CODES OF HUMAN RIGHTS, AND THEIR INCORPORATION INTO DOMESTIC LAW, PARTICULARLY AS REGARDS THOSE HUMAN RIGHTS THAT MOST IMPACT ON PEOPLE WITH, OR AT RISK OF INFECTION WITH, HIV AND AIDS."
"1145506","0","Marlborough Theatre Productions Ltd","The Old Court House, 118 Church Street, BRIGHTON","BN1 1UD","Brighton Pavilion","07863 561035","info@marlboroughproductions.org.uk","www.marlboroughproductions.org.uk","31/03/2024","949717","934400","Registered","Charitable company","Provides Services","Arts/culture/heritage/science","The General Public/mankind","Marlborough Theatre Productions Ltd champions innovation and excellence. Its principal activity and charitable objects are: To advance the Arts for the public benefit by promotion in particular, but not exclusively, of the art of Drama. It is a hub for creation, artistic exchange and performance, and offers collaborative opportunities for participation for Brighton's communities.","TO ADVANCE THE ARTS FOR THE PUBLIC BENEFIT BY THE PROMOTION IN PARTICULAR, BUT NOT EXCLUSIVELY, OF THE ART OF DRAMA."
"1146107","0","THE SUSSEX HARMONISERS","40 Mackie Avenue, HASSOCKS, West Sussex","BN6 8NN","Mid Sussex","07710442289","contact@sussexharmonisers.org.uk","www.sussexharmonisers.org.uk","31/07/2024","17905","21342","Registered","Other","Provides Services, Other Charitable Activities","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Recreation","Elderly/old People, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The Sussex Harmonisers club advances, promotes and encourages the art of barbershop singing and a cappella harmony in quartet and chorus form for adults of all ages. It has male- and female-voice choruses which perform at arts festivals, community events and in public to entertain and raise funds for its charity. Its male chorus is a member of the British Association of Barbershop Singers.","2. The objectives of the Club shall be:-   
a)	To advance, improve, develop and maintain the education of adults in barbershop and a cappella harmony in chorus and smaller group form by such means as the Trustees deem fit;  
b)	To advance, improve, develop and maintain public education in, and appreciation of, the art and science of music in all its aspects in particular but not exclusively by the presentation of public concerts and recitals;  
c)	To further such charitable purpose or purposes as the Trustees in their absolute discretion shall think fit."
"1146117","0","THE CIRCLE BRIGHTON LIMITED","55 North Street, Portslade, BRIGHTON","BN41 1DH","Hove and Portslade","01273722007","rachel@thecirclebrighton.com","http://thecirclebrighton.com/","31/10/2024","207070","213738","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives, Accommodation/housing, Arts/culture/heritage/science, Recreation","People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","TO PROMOTE AND PROTECT THE PHYSICAL AND MENTAL HEALTH OF SUFFERERS OF, AND ADVANCE THE EDUCATION OF THE GENERAL PUBLIC IN ALL AREAS RELATING TO , MYALGIC ENCEPHALOMYELITIS (ME) , MULTIPLE SCLEROSIS (MS) , DEPRESSION AND STRESS RELATED CONDITIONS IN ENGLAND AND WALES THROUGH THE PROVISION OF FINANCIAL ASSISTANCE , SUPPORT , EDUCATION AND PRACTICAL ADVICE.","THE CHARITY'S OBJECTS (""OBJECTS"") ARE SPECIFICALLY RESTRICTED TO THE FOLLOWING: (1) TO PROMOTE AND PROTECT THE PHYSICAL AND MENTAL HEALTH OF SUFFERERS OF MYALGIC ENCEPHALOMYELITIS (""ME""), MULTIPLE SCLEROSIS (""MS""), DEPRESSION AND STRESS RELATED CONDITIONS IN ENGLAND AND WALES THROUGH THE PROVISION OF FINANCIAL ASSISTANCE, SUPPORT, EDUCATION AND PRACTICAL ADVICE.(2)TO ADVANCE THE EDUCATION OF THE GENERAL PUBLIC IN ALL AREAS RELATING TO MYALGIC ENCEPHALOMYELITIS (""ME"") MULTIPLE SCLEROSIS (""MS""), DEPRESSION AND STRESS RELATED CONDITIONS."
"1146155","0","KEMP TOWN SOCIETY","Flat 1, 9 Sussex Square, BRIGHTON","BN2 1FJ","Brighton Kemptown and Peacehaven","01273674723","enquiries@kemptown-society.org.uk","http://www.kemptown-society.org.uk/","31/12/2024","4112","5209","Registered","Charitable company","Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Monitors available information for alteration and development proposals within the Kemp Town Conservation area and raises comments/objections with appropriate authorities. Campaigns against inappropriate development within the area. Liaison with heritage organisations and similar associations. Informs members of matters of conservation interest. Fundraising activities relating to the above.","TO SECURE FOR THE PUBLIC BENEFIT THE PRESERVATION, PROTECTION, DEVELOPMENT AND IMPROVEMENT OF FEATURES OF HISTORIC OR PUBLIC INTEREST IN THE AREA COMPRISING KEMP TOWN CONSERVATION AREA AS DESIGNATED UNDER SECTION 277 OF THE TOWN AND COUNTRY PLANNING ACT 1971."
"1146336","0","RCCG - THE JOY OF ALL SOULS","21 Larkspur Drive, BURGESS HILL, West Sussex","RH15 0UL","Mid Sussex","07412018578","pastor@thejoyofallsouls.org","www.thejoyofallsouls.org","31/10/2024","20795","23466","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, The Prevention Or Relief Of Poverty, Religious Activities","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","Advancement of religion","1) TO ADVANCE THE CHRISTIAN RELIGION IN BRIGHTON AND HOVE AND SURROUNDING AREAS, FOR THE BENEFIT OF THE PUBLIC, THROUGH THE HOLDING OF PRAYER MEETINGS AND BIBLE STUDIES, LECTURES AND PUBLIC CELEBRATION OF RELIGIOUS FESTIVALS TO ENLIGHTEN OTHERS ABOUT THE CHRISTIAN RELIGION.
2) THE PREVENTION OR RELIEF OF POVERTY BY PROVIDING: GRANTS, ITEMS AND SERVICES TO INDIVIDUALS IN NEED AND/OR CHARITIES, OR OTHER ORGANISATIONS WORKING TO PREVENT OR RELIEVE POVERTY
3) FOR THE PUBLIC BENEFIT TO PROMOTE THE EDUCATION OF YOUNG PEOPLE IN SUCH WAYS AS THE CHARITY TRUSTEES THINK FIT, INCLUDING BY:
A) PROVIDING ASSISTANCE TO CHILDREN AND STUDENTS WITH THEIR STUDIES;
B) SUPPORTING PARENTS TO ENGAGE MORE WITH THEIR CHILDREN'S EDUCATION AND ENCOURAGING GREATER PARENTAL INVOLVEMENT; AND
C) THE PROVISION OF SEMINARS, LECTURES AND CAREER COUNSELLING SERVICES."
"1146416","0","THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ST JOHN THE BAPTIST, HOVE","c/o St John the Baptist, Palmeira Square, HOVE","BN3 2FL","Hove and Portslade","01273 725811","","http://stjohnshove.co.uk","31/12/2024","78350","94094","Registered","Previously excepted","Other Charitable Activities","Religious Activities","The General Public/mankind","St John the Baptist Hove is a Church of England Parish Church that seeks to enable people to live out their Christian faith as part of our parish community through: Worship, prayer and discipleship, provision of pastoral care for people in the parishand missionary and outreach work.","PROMOTING IN THE ECCLESIASTICAL PARISH THE WHOLE MISSION OF THE CHURCH."
"1146642","0","THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF BRIGHTON, ST PETER","ST. PETER'S CHURCH, YORK PLACE, BRIGHTON","BN1 4GU","Brighton Pavilion","01273698182","contact@stpetersbrighton.org","http://www.stpetersbrighton.org","31/12/2023","1638974","1523510","Registered","Previously excepted","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","Religious Activities","The General Public/mankind","Regular public worship open to all.
	The provision of sacred space for personal prayer and contemplation.
	Pastoral work.
	Teaching of Christianity through sermons, courses and small groups.
	The provision of a youth club with a Christian ethos.
	Promotion of Christianity through the staging of events and the distribution of literature.
	Supporting other charities in the UK and overseas.","PROMOTING IN THE ECCLESIASTICAL PARISH THE WHOLE MISSION OF THE CHURCH."
"1147242","0","UNIVERSITY OF SUSSEX STUDENTS' UNION","UNIVERSITY OF SUSSEX, FALMER HOUSE, FALMER, BRIGHTON","BN1 9QF","Brighton Pavilion","01273678588","james.h@sussexstudent.com","http://www.sussexstudent.com","31/07/2024","6738838","6660859","Registered","Charitable company","Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Amateur Sport, Recreation","Other Defined Groups","Provide educational services for students at a University","4. THE UNION'S OBJECTS (THE ""OBJECTS"") ARE THE ADVANCEMENT OF EDUCATION OF STUDENTS AT THE UNIVERSITY OF SUSSEX FOR THE PUBLIC BENEFIT BY:
4.1 REPRESENTING ITS MEMBERS AND THEIR INTERESTS IN THE UNIVERSITY AND IN THE WIDER COMMUNITY.
4.2 PROMOTING STUDENT PARTICIPATION IN ALL AREAS OF THE UNION AND THE UNIVERSITY.
4.3 FACILITATING COMMUNICATION, IN ORDER TO ENSURE UNION MEMBERS ARE WELL INFORMED OF ANY ISSUES AFFECTING STUDENTS AND THEIR COMMUNITY.
4.4 PROMOTING THE WELFARE AND INDIVIDUAL DEVELOPMENT OF MEMBERS AND PROVIDING ADVICE SERVICES RELATING TO EDUCATIONAL AND WELFARE ISSUES.
4.5 PROVIDING, FACILITATING AND DEVELOPING EDUCATIONAL, SCIENTIFIC, ARTISTIC, CULTURAL, ATHLETIC, POLITICAL, RELIGIOUS AND SOCIAL ACTIVITIES AMONGST ITS MEMBERS INCLUDING THE FORMATION, ORGANISATION AND OPERATION OF CLUBS AND SOCIETIES.
4.6 PROMOTING AND FACILITATING STUDENTS? INVOLVEMENT IN THEIR WIDER COMMUNITY.
4.7 PROMOTING AND MAINTAINING LINKS BETWEEN ITS MEMBERS AND OTHER STUDENTS REGIONALLY, NATIONALLY AND INTERNATIONALLY.
4.8 ESTABLISHING AND OPERATING COMMERCIAL ENTERPRISES PROVIDING SERVICES AND ENTERTAINMENT TO ITS MEMBERS.
4.9 RAISING FUNDS FOR OTHER CHARITABLE ORGANISATIONS."
